"Region Code","Timestamp (Hour Ending)","Total CAL Demand (MWh)"
CAL,"4/9/2022 12 a.m. PDT",31695
CAL,"4/9/2022 1 a.m. PDT",29937
CAL,"4/9/2022 2 a.m. PDT",28324
CAL,"4/9/2022 3 a.m. PDT",27157
CAL,"4/9/2022 4 a.m. PDT",26268
CAL,"4/9/2022 5 a.m. PDT",25639
CAL,"4/9/2022 6 a.m. PDT",25731
CAL,"4/9/2022 7 a.m. PDT",26050
CAL,"4/9/2022 8 a.m. PDT",25727
CAL,"4/9/2022 9 a.m. PDT",25917
CAL,"4/9/2022 10 a.m. PDT",25314
CAL,"4/9/2022 11 a.m. PDT",24651
CAL,"4/9/2022 12 p.m. PDT",24458
CAL,"4/9/2022 1 p.m. PDT",24407
CAL,"4/9/2022 2 p.m. PDT",24752
CAL,"4/9/2022 3 p.m. PDT",25709
CAL,"4/9/2022 4 p.m. PDT",27241
CAL,"4/9/2022 5 p.m. PDT",28859
CAL,"4/9/2022 6 p.m. PDT",30771
CAL,"4/9/2022 7 p.m. PDT",32157
CAL,"4/9/2022 8 p.m. PDT",32681
CAL,"4/9/2022 9 p.m. PDT",32368
CAL,"4/9/2022 10 p.m. PDT",31206
CAL,"4/9/2022 11 p.m. PDT",29617
CAL,"4/10/2022 12 a.m. PDT",27649
CAL,"4/10/2022 1 a.m. PDT",26415
CAL,"4/10/2022 2 a.m. PDT",25288
CAL,"4/10/2022 3 a.m. PDT",24506
CAL,"4/10/2022 4 a.m. PDT",24059
CAL,"4/10/2022 5 a.m. PDT",23714
CAL,"4/10/2022 6 a.m. PDT",23778
CAL,"4/10/2022 7 a.m. PDT",24029
CAL,"4/10/2022 8 a.m. PDT",23621
CAL,"4/10/2022 9 a.m. PDT",23943
CAL,"4/10/2022 10 a.m. PDT",23366
CAL,"4/10/2022 11 a.m. PDT",22724
CAL,"4/10/2022 12 p.m. PDT",22106
CAL,"4/10/2022 1 p.m. PDT",21436
CAL,"4/10/2022 2 p.m. PDT",21454
CAL,"4/10/2022 3 p.m. PDT",21706
CAL,"4/10/2022 4 p.m. PDT",22417
CAL,"4/10/2022 5 p.m. PDT",23709
CAL,"4/10/2022 6 p.m. PDT",26156
CAL,"4/10/2022 7 p.m. PDT",28165
CAL,"4/10/2022 8 p.m. PDT",29808
CAL,"4/10/2022 9 p.m. PDT",30168
CAL,"4/10/2022 10 p.m. PDT",29227
CAL,"4/10/2022 11 p.m. PDT",27831
CAL,"4/11/2022 12 a.m. PDT",26229
CAL,"4/11/2022 1 a.m. PDT",25059
CAL,"4/11/2022 2 a.m. PDT",24004
CAL,"4/11/2022 3 a.m. PDT",23587
CAL,"4/11/2022 4 a.m. PDT",23446
CAL,"4/11/2022 5 a.m. PDT",23795
CAL,"4/11/2022 6 a.m. PDT",25241
CAL,"4/11/2022 7 a.m. PDT",27098
CAL,"4/11/2022 8 a.m. PDT",28224
CAL,"4/11/2022 9 a.m. PDT",29296
CAL,"4/11/2022 10 a.m. PDT",29652
CAL,"4/11/2022 11 a.m. PDT",29331
CAL,"4/11/2022 12 p.m. PDT",28929
CAL,"4/11/2022 1 p.m. PDT",28042
CAL,"4/11/2022 2 p.m. PDT",27086
CAL,"4/11/2022 3 p.m. PDT",26530
CAL,"4/11/2022 4 p.m. PDT",26378
CAL,"4/11/2022 5 p.m. PDT",26747
CAL,"4/11/2022 6 p.m. PDT",28405
CAL,"4/11/2022 7 p.m. PDT",29926
CAL,"4/11/2022 8 p.m. PDT",31679
CAL,"4/11/2022 9 p.m. PDT",31903
CAL,"4/11/2022 10 p.m. PDT",31003
CAL,"4/11/2022 11 p.m. PDT",29230
CAL,"4/12/2022 12 a.m. PDT",27432
CAL,"4/12/2022 1 a.m. PDT",26355
CAL,"4/12/2022 2 a.m. PDT",25342
CAL,"4/12/2022 3 a.m. PDT",24967
CAL,"4/12/2022 4 a.m. PDT",24832
CAL,"4/12/2022 5 a.m. PDT",25384
CAL,"4/12/2022 6 a.m. PDT",26818
CAL,"4/12/2022 7 a.m. PDT",28841
CAL,"4/12/2022 8 a.m. PDT",29442
CAL,"4/12/2022 9 a.m. PDT",28548
CAL,"4/12/2022 10 a.m. PDT",27539
CAL,"4/12/2022 11 a.m. PDT",26237
CAL,"4/12/2022 12 p.m. PDT",25330
CAL,"4/12/2022 1 p.m. PDT",24684
CAL,"4/12/2022 2 p.m. PDT",24532
CAL,"4/12/2022 3 p.m. PDT",24503
CAL,"4/12/2022 4 p.m. PDT",24507
CAL,"4/12/2022 5 p.m. PDT",25106
CAL,"4/12/2022 6 p.m. PDT",26992
CAL,"4/12/2022 7 p.m. PDT",28989
CAL,"4/12/2022 8 p.m. PDT",31162
CAL,"4/12/2022 9 p.m. PDT",31830
CAL,"4/12/2022 10 p.m. PDT",30984
CAL,"4/12/2022 11 p.m. PDT",29200
CAL,"4/13/2022 12 a.m. PDT",27449
CAL,"4/13/2022 1 a.m. PDT",26284
CAL,"4/13/2022 2 a.m. PDT",25528
CAL,"4/13/2022 3 a.m. PDT",25074
CAL,"4/13/2022 4 a.m. PDT",24929
CAL,"4/13/2022 5 a.m. PDT",25491
CAL,"4/13/2022 6 a.m. PDT",27084
CAL,"4/13/2022 7 a.m. PDT",29075
CAL,"4/13/2022 8 a.m. PDT",29751
CAL,"4/13/2022 9 a.m. PDT",29349
CAL,"4/13/2022 10 a.m. PDT",28027
CAL,"4/13/2022 11 a.m. PDT",26847
CAL,"4/13/2022 12 p.m. PDT",26187
CAL,"4/13/2022 1 p.m. PDT",25551
CAL,"4/13/2022 2 p.m. PDT",25127
CAL,"4/13/2022 3 p.m. PDT",26155
CAL,"4/13/2022 4 p.m. PDT",25491
CAL,"4/13/2022 5 p.m. PDT",26479
CAL,"4/13/2022 6 p.m. PDT",28352
CAL,"4/13/2022 7 p.m. PDT",30070
CAL,"4/13/2022 8 p.m. PDT",31708
CAL,"4/13/2022 9 p.m. PDT",32005
CAL,"4/13/2022 10 p.m. PDT",31140
CAL,"4/13/2022 11 p.m. PDT",29266
CAL,"4/14/2022 12 a.m. PDT",27466
CAL,"4/14/2022 1 a.m. PDT",26226
CAL,"4/14/2022 2 a.m. PDT",25346
CAL,"4/14/2022 3 a.m. PDT",24779
CAL,"4/14/2022 4 a.m. PDT",24599
CAL,"4/14/2022 5 a.m. PDT",25031
CAL,"4/14/2022 6 a.m. PDT",26489
CAL,"4/14/2022 7 a.m. PDT",28246
CAL,"4/14/2022 8 a.m. PDT",29402
CAL,"4/14/2022 9 a.m. PDT",28975
CAL,"4/14/2022 10 a.m. PDT",28645
CAL,"4/14/2022 11 a.m. PDT",27756
CAL,"4/14/2022 12 p.m. PDT",27908
CAL,"4/14/2022 1 p.m. PDT",27447
CAL,"4/14/2022 2 p.m. PDT",27186
CAL,"4/14/2022 3 p.m. PDT",27367
CAL,"4/14/2022 4 p.m. PDT",27362
CAL,"4/14/2022 5 p.m. PDT",28030
CAL,"4/14/2022 6 p.m. PDT",29114
CAL,"4/14/2022 7 p.m. PDT",30137
CAL,"4/14/2022 8 p.m. PDT",31696
CAL,"4/14/2022 9 p.m. PDT",31738
CAL,"4/14/2022 10 p.m. PDT",30824
CAL,"4/14/2022 11 p.m. PDT",29188
CAL,"4/15/2022 12 a.m. PDT",27491
CAL,"4/15/2022 1 a.m. PDT",26170
CAL,"4/15/2022 2 a.m. PDT",25273
CAL,"4/15/2022 3 a.m. PDT",24753
CAL,"4/15/2022 4 a.m. PDT",24443
CAL,"4/15/2022 5 a.m. PDT",24836
CAL,"4/15/2022 6 a.m. PDT",26002
CAL,"4/15/2022 7 a.m. PDT",27611
CAL,"4/15/2022 8 a.m. PDT",28115
CAL,"4/15/2022 9 a.m. PDT",27943
CAL,"4/15/2022 10 a.m. PDT",26558
CAL,"4/15/2022 11 a.m. PDT",25505
CAL,"4/15/2022 12 p.m. PDT",25210
CAL,"4/15/2022 1 p.m. PDT",24848
CAL,"4/15/2022 2 p.m. PDT",24495
CAL,"4/15/2022 3 p.m. PDT",24521
CAL,"4/15/2022 4 p.m. PDT",24861
CAL,"4/15/2022 5 p.m. PDT",25945
CAL,"4/15/2022 6 p.m. PDT",27775
CAL,"4/15/2022 7 p.m. PDT",29187
CAL,"4/15/2022 8 p.m. PDT",30507
CAL,"4/15/2022 9 p.m. PDT",30738
CAL,"4/15/2022 10 p.m. PDT",30182
CAL,"4/15/2022 11 p.m. PDT",28773
CAL,"4/16/2022 12 a.m. PDT",27290
CAL,"4/16/2022 1 a.m. PDT",26113
CAL,"4/16/2022 2 a.m. PDT",25093
CAL,"4/16/2022 3 a.m. PDT",24296
CAL,"4/16/2022 4 a.m. PDT",23825
CAL,"4/16/2022 5 a.m. PDT",23741
CAL,"4/16/2022 6 a.m. PDT",24009
CAL,"4/16/2022 7 a.m. PDT",24497
CAL,"4/16/2022 8 a.m. PDT",24772
CAL,"4/16/2022 9 a.m. PDT",25113
CAL,"4/16/2022 10 a.m. PDT",25216
CAL,"4/16/2022 11 a.m. PDT",24717
CAL,"4/16/2022 12 p.m. PDT",24415
CAL,"4/16/2022 1 p.m. PDT",22471
